13,10,17,1,5,0,2,14,8,7
18,7,1,14,2,17,16,4,13,10
6,14,19,7,10,16,5,17,12,3
15,19,10,13,7,3,12,18,17,0
3,0,12,10,1,15,7,9,18,11
11,12,5,0,15,18,8,1,3,4
9,2,18,19,12,4,11,3,6,8
14,9,15,11,8,7,3,12,1,6
19,17,14,9,3,8,4,6,2,5
16,3,9,15,4,6,14,2,0,12
17,15,16,2,6,12,19,13,4,1
4,16,8,18,13,11,1,10,9,17
2,5,3,4,17,9,10,0,11,16
12,4,11,17,9,1,13,8,5,15
5,11,6,1,19,2,18,7,16,13
7,13,1,11,18,10,0,5,19,14
0,1,17,7,14,19,6,16,15,2
8,6,19,10,0,13,9,15,14,7
13,18,12,14,16,5,2,19,7,10
18,8,5,13,2,0,16,11,10,3
6,10,18,19,5,17,12,14,8,0
15,7,10,0,1,3,5,4,13,11
3,14,15,9,10,16,7,17,12,4
11,12,14,4,7,15,8,18,17,6
14,19,16,2,12,4,11,9,18,8
9,0,11,15,8,18,4,1,3,5
19,9,8,18,4,7,14,3,6,12
16,2,9,14,15,8,3,12,1,17
17,15,10,1,3,12,19,6,2,16
4,3,19,17,6,9,1,2,0,15
2,17,3,7,9,6,10,13,4,1
12,16,6,0,17,11,13,10,9,14
7,5,17,10,13,1,18,0,11,2
6,4,1,11,18,2,0,8,5,13
5,11,12,13,19,10,6,7,16,3
0,13,18,4,14,17,9,5,19,7
8,1,5,9,0,19,2,16,14,10
18,6,14,19,16,13,12,15,7,0
13,18,9,17,2,5,16,19,15,11
3,8,15,2,7,0,5,11,10,4
15,10,16,18,5,3,7,14,8,6
11,7,6,15,10,16,3,4,13,8
9,14,8,7,1,15,11,17,12,5
14,12,11,1,3,4,8,18,17,16
16,19,3,14,12,7,4,9,18,17
19,0,17,10,8,18,14,1,3,12
17,9,10,13,4,8,19,3,6,1
4,2,19,0,15,6,10,12,1,13
5,3,18,11,17,12,1,6,2,15
12,17,1,19,6,9,13,2,0,14
2,15,12,17,9,11,18,13,4,7
7,16,5,4,13,1,0,10,9,2
8,5,14,9,18,2,6,0,11,10
0,4,15,2,19,10,9,8,5,3
13,11,9,15,14,19,2,5,16,0
18,13,8,1,0,5,16,7,19,11
6,1,3,18,16,13,12,15,14,4
3,6,11,14,2,0,5,16,15,8
15,18,16,13,10,17,11,19,7,6
9,8,6,0,5,3,7,11,10,12
11,10,1,19,7,16,3,14,8,5
14,7,17,10,1,15,8,4,13,16
19,14,10,7,8,18,4,17,12,1
16,12,19,11,3,4,14,18,17,15
17,19,5,4,12,7,1,9,18,13
4,0,12,9,15,8,19,1,3,17
2,9,18,15,4,12,10,3,6,14
5,2,14,18,6,9,13,12,1,7
8,15,16,17,18,1,0,13,4,2
13,5,6,2,19,10,9,0,11,4
